name,kind,sidocode,sido,sigungucode,sigungu,dongcode,dong,jibuncode,jibun,jibunaddr,doro,doroaddr,gyundo,wido
드림공인중개사사무소,부동산,11,서울특별시,11740,강동구,1174010100,명일동,1.17E+18,15,서울특별시 강동구 명일동 15번지 삼익그린2차 ,서울특별시 강동구 고덕로,"서울특별시 강동구 고덕로 210, (명일동, 삼익그린2차)",127.1470486,37.55380135
한국인삼방,소매,11,서울특별시,11230,동대문구,1123010300,제기동,1.12E+18,1019,서울특별시 동대문구 제기동 1019번지 ,서울특별시 동대문구 고산자로36길,"서울특별시 동대문구 고산자로36길 3, (제기동)",127.0391266,37.57903065
신금호방아간,생활서비스,11,서울특별시,11200,성동구,1120011000,금호동2가,1.12E+18,500,서울특별시 성동구 금호동2가 500-16번지 ,서울특별시 성동구 금호산길,"서울특별시 성동구 금호산길 49, (금호동2가)",127.0192087,37.5525293
함흥냉면,음식,11,서울특별시,11530,구로구,1153010100,신도림동,1.15E+18,406,서울특별시 구로구 신도림동 406-1번지 ,서울특별시 구로구 경인로,"서울특별시 구로구 경인로 577, (신도림동)",126.8808982,37.50406687
마당집,음식,11,서울특별시,11500,강서구,1150010900,방화동,1.15E+18,614,서울특별시 강서구 방화동 614-182번지 ,서울특별시 강서구 개화동로27길,"서울특별시 강서구 개화동로27길 47-3, (방화동)",126.8091125,37.56460814
앤네이처미용실,생활서비스,11,서울특별시,11680,강남구,1168010800,논현동,1.17E+18,86,서울특별시 강남구 논현동 86-7번지 ,서울특별시 강남구 논현로132길,"서울특별시 강남구 논현로132길 5, (논현동)",127.0308989,37.51498897
유진인터내셔널,소매,11,서울특별시,11740,강동구,1174010500,길동,1.17E+18,373,서울특별시 강동구 길동 373-6번지 ,서울특별시 강동구 성안로,"서울특별시 강동구 성안로 194, (길동)",127.1368166,37.54012106
저금통,관광/여가/오락,11,서울특별시,11680,강남구,1168010700,신사동,1.17E+18,588,서울특별시 강남구 신사동 588-19번지 ,서울특별시 강남구 도산대로,"서울특별시 강남구 도산대로 221, (신사동)",127.0308781,37.52097179
열린열쇠,소매,11,서울특별시,11740,강동구,1174010100,명일동,1.17E+18,338,서울특별시 강동구 명일동 338-12번지 ,서울특별시 강동구 양재대로136길,"서울특별시 강동구 양재대로136길 42, (명일동)",127.146002,37.54831537
이촌반점,음식,11,서울특별시,11170,용산구,1117012900,이촌동,1.12E+18,206,서울특별시 용산구 이촌동 206-5번지 ,서울특별시 용산구 이촌로2가길,"서울특별시 용산구 이촌로2가길 77, (이촌동)",126.9542908,37.52666188
삼성단란주점,음식,11,서울특별시,11290,성북구,1129013600,하월곡동,1.13E+18,90,서울특별시 성북구 하월곡동 90-1133번지 ,서울특별시 성북구 오패산로1가길,"서울특별시 성북구 오패산로1가길 60, (하월곡동)",127.033775,37.60328806
치킨팝,음식,11,서울특별시,11215,광진구,1121510100,중곡동,1.12E+18,150,서울특별시 광진구 중곡동 150-173번지 ,서울특별시 광진구 긴고랑로,"서울특별시 광진구 긴고랑로 83, (중곡동)",127.085075,37.56099632
은마보수,생활서비스,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,316,서울특별시 강남구 대치동 316번지 은마 ,서울특별시 강남구 삼성로,"서울특별시 강남구 삼성로 212, (대치동, 은마)",127.0658971,37.49961058
새마을마트,소매,11,서울특별시,11440,마포구,1144012300,망원동,1.14E+18,457,서울특별시 마포구 망원동 457-2번지 ,서울특별시 마포구 희우정로15길,"서울특별시 마포구 희우정로15길 3, (망원동)",126.9019538,37.55371362
